D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
PTAR1 479 685 498 578 1201 520 918
C9orf135 101 458 5 11 37 5 10
SMC5-AS1 14 14 16 11 17 27 13
SMC5 1646 1485 1919 1615 1647 2171 2262
KLF9 388 508 432 446 722 642 1008
TMEM2 445 653 644 521 1087 589 924
ABHD17B 197 178 233 153 180 299 205
C9orf85 490 476 577 461 578 679 716
ZFAND5 1670 2608 2076 1653 3670 1891 2940
ANXA1 2387 2123 1291 1539 2667 2602 3565
C9orf40 594 368 675 504 312 851 553
CARNMT1 375 353 420 365 475 452 577
NMRK1 1773 797 1779 1758 1324 1926 1200
OSTF1 4894 2042 7357 4132 2645 7246 3664
PCSK5 4 21 5 5 27 8 29
RFK 531 298 861 501 396 684 310
GCNT1 984 257 936 844 281 1635 694
VPS13A 851 637 919 697 677 1018 958
GNAQ 307 241 419 314 242 356 290
CEP78 654 458 881 577 510 809 560
PSAT1 2376 1681 3091 1888 1300 3973 2653
TLE4 612 583 574 632 789 632 502
TLE1 6 15 1 12 28 7 19
IDNK 425 211 482 368 240 496 308
UBQLN1 1260 1814 1411 1143 2481 1921 2414
RP11-522I20.3 53 81 54 56 126 92 138
GKAP1 183 183 221 151 271 243 239
KIF27 95 51 114 93 56 128 92
C9orf64 452 212 492 319 217 598 308
HNRNPK 12708 11082 15269 10734 13118 16985 14996
RP11-575L7.8 8 16 8 4 36 11 34
RMI1 515 373 629 463 382 763 656
AGTPBP1 420 470 509 400 707 661 913
NAA35 725 555 802 622 602 1029 862
ISCA1 1229 1859 1439 1193 2956 1820 3316
ZCCHC6 1193 1023 1228 1365 1254 1500 1608
CTSL 2040 3573 3696 2329 2716 1001 1410
CDK20 21 31 31 20 32 19 38
SPIN1 207 348 249 223 639 247 451
S1PR3 5 8 12 5 6 16 3
CKS2 6282 6008 9986 5530 6015 9234 6440
SECISBP2 692 487 877 724 633 821 796
SEMA4D 1105 1584 1102 1011 1974 1251 1921
GADD45G 453 1336 272 330 1480 228 869
RP11-305L7.1 54 22 22 42 4 23 18
RP11-305L7.7 8 4 4 8 5 5 5
AUH 882 860 939 935 930 1007 825
NFIL3 247 287 168 294 276 371 456
SPTLC1 289 321 372 288 443 365 476
IARS 1776 1672 2188 1751 1806 2876 2757
NOL8 1793 1493 2191 1564 1793 2835 2572
CENPP 493 520 635 445 479 741 814
IPPK 171 155 200 155 187 299 231
BICD2 244 220 295 237 330 327 301
ZNF484 91 95 87 101 100 83 168
FGD3 856 768 933 783 952 916 1018
SUSD3 2719 2331 3251 2843 2253 3744 3644
CARD19 2595 1963 2720 2041 1514 3218 2657
NINJ1 3445 4159 3670 3265 3311 4500 6219
RP11-165J3.6 14 8 16 10 3 8 5
FAM120AOS 1010 877 1392 913 954 1514 1250
FAM120A 1102 1023 1505 1132 1122 1494 1278
PHF2 106 80 140 98 79 144 110
PTPDC1 140 89 132 127 92 170 135
RP11-2B6.2 23 21 18 24 28 27 32
ZNF169 77 83 83 75 96 92 103
RP11-307E17.8 8 5 7 12 9 17 13
MFSD14B 496 274 657 403 366 717 383
FBP1 15 27 11 18 20 7 21
C9orf3 204 82 156 166 147 247 101
FANCC 81 41 99 67 52 121 71
PTCH1 13 6 7 12 8 7 22
ERCC6L2 345 380 339 299 429 338 502
SLC35D2 251 87 270 282 81 362 138
ZNF367 349 170 436 242 164 521 250
HABP4 348 198 544 329 204 529 294
CDC14B 49 30 95 64 51 82 93
AAED1 1173 656 1552 1215 834 2423 1470
ZNF510 133 171 130 139 214 170 239
ZNF782 55 41 63 57 83 70 80
MFSD14C 79 55 99 67 73 84 72
RP11-498P14.5 41 66 55 52 92 72 88
CCDC180 37 20 34 45 27 29 30
TDRD7 424 169 448 377 139 728 357
TMOD1 407 68 345 381 88 365 142
TSTD2 208 146 236 155 158 283 246
NCBP1 354 236 435 280 251 420 303
XPA 812 629 917 796 779 824 833
TRMO 289 282 371 323 399 415 464
HEMGN 22 27 22 20 45 33 57
ANP32B 15301 21308 18334 13893 28864 20839 27667
NANS 2506 1821 3058 2334 1743 3195 2900
TRIM14 1261 752 1654 1070 558 1392 983
CORO2A 179 228 295 343 496 275 326
TBC1D2 61 37 101 69 41 88 67
ANKS6 69 46 125 42 37 68 61
GALNT12 36 70 30 25 58 42 112
TGFBR1 195 160 183 109 165 175 186
ALG2 691 506 718 587 424 867 629
SEC61B 11849 8550 14385 10050 8901 15280 11433
STX17-AS1 23 27 19 24 64 30 31
STX17 772 605 883 685 671 1233 1024
ERP44 2420 1884 2316 2195 2242 2489 2342
INVS 147 126 132 117 170 120 174
TEX10 252 218 311 249 314 308 306
MSANTD3 247 258 267 189 351 314 380
MRPL50 1706 1387 2095 1479 1563 2404 2228
ZNF189 155 96 190 145 90 234 172
RNF20 734 893 845 737 1125 973 1322
SMC2 3708 5086 4868 3250 4777 5283 6893
NIPSNAP3A 315 306 498 352 295 449 407
NIPSNAP3B 7 17 15 10 18 15 15
SLC44A1 297 299 274 303 455 309 432
FKTN 134 97 135 102 74 156 131
TMEM38B 310 404 373 301 536 374 497
RAD23B 2377 2508 2655 2158 3251 3315 3532
IKBKAP 159 116 194 148 193 238 183
FAM206A 146 173 103 124 256 148 303
CTNNAL1 1242 1276 1464 1088 1651 1545 1105
TMEM245 547 556 529 436 682 511 510
TXN 34798 15386 39938 30792 14494 54088 34820
KIAA0368 539 418 565 491 507 713 593
ZNF483 27 22 28 67 43 28 36
DNAJC25 251 409 228 215 456 273 601
DNAJC25-GNG10 11 3 14 8 19 17 18
GNG10 59 36 85 44 52 96 76
UGCG 272 231 350 274 585 274 240
SUSD1 40 14 38 43 16 64 15
PTBP3 936 1023 1146 931 1556 1283 1383
HSDL2 1293 1095 1359 1178 1150 1751 1716
KIAA1958 55 99 73 57 133 77 131
INIP 732 751 1005 664 922 973 1064
SNX30 33 35 50 34 36 21 26
ZNF883 22 38 16 16 59 12 32
ZFP37 39 45 30 21 61 42 58
SLC31A2 134 126 198 145 185 165 132
FKBP15 575 672 501 421 556 649 1011
SLC31A1 244 295 272 209 351 389 527
CDC26 2131 1708 3020 1845 1976 3133 2279
PRPF4 988 965 1224 847 1071 1498 1535
WDR31 37 54 37 28 35 67 56
HDHD3 512 270 630 504 349 684 427
ALAD 317 412 400 307 640 342 493
POLE3 1015 718 1289 738 767 1307 1006
C9orf43 7 8 9 11 23 20 24
RGS3 444 367 357 482 539 705 770
COL27A1 8 25 6 8 72 15 60
AKNA 789 1005 905 768 1083 912 1161
DFNB31 37 152 16 18 249 17 54
ATP6V1G1 3479 4973 4017 3255 6639 3684 6065
C9orf91 106 243 151 124 208 208 341
TNFSF8 115 127 159 104 219 224 211
ASTN2 50 54 78 71 52 60 90
TRIM32 103 101 166 115 144 142 153
CDK5RAP2 994 1104 1171 936 1101 1073 1396
MEGF9 109 41 116 82 70 112 74
FBXW2 992 856 1332 852 995 1434 1167
PSMD5 560 689 591 643 979 728 1070
PSMD5-AS1 1103 922 1187 886 754 1431 1562
PHF19 2663 4769 3463 2596 5403 4395 5469
TRAF1 2079 1431 2119 2055 1288 3921 2808
C5 43 24 39 31 39 48 36
CNTRL 1802 1798 2270 1677 1863 2493 2146
RAB14 1491 1727 1969 1517 2601 2165 2418
GSN 341 48 238 234 80 354 134
STOM 715 230 771 621 324 795 539
TTLL11 30 8 35 17 6 35 9
NDUFA8 2636 2019 3479 2234 2239 3382 3514
RBM18 822 986 1073 730 1569 1140 1500
MRRF 533 822 674 468 1172 867 1145
PDCL 851 656 935 722 732 1021 823
RC3H2 324 350 347 263 491 357 471
ZBTB6 109 169 133 128 244 137 247
ZBTB26 83 130 58 74 175 81 120
RABGAP1 362 294 456 375 358 518 435
STRBP 468 757 613 510 919 576 1018
DENND1A 89 103 115 65 121 156 185
PSMB7 5115 3808 6668 4438 4106 7559 6058
MIR181A2HG 6 19 3 2 28 2 34
RPL35 65791 90270 73297 60089 127842 79223 121929
ARPC5L 5894 4031 7708 5141 4240 8974 6926
GOLGA1 278 337 347 297 402 437 481
SCAI 237 280 210 209 409 219 395
PPP6C 986 669 1198 826 888 1206 909
RABEPK 636 455 604 542 466 950 780
HSPA5 12215 7648 11346 13496 7593 12594 10879
GAPVD1 601 439 654 526 553 674 679
MAPKAP1 747 404 997 608 559 956 642
PBX3 107 144 117 99 280 136 192
MVB12B 27 20 11 26 27 6 13
ZBTB43 789 766 792 886 1120 1392 1378
ZBTB34 11 29 20 17 53 32 35
RALGPS1 26 12 30 36 11 11 6
SLC2A8 131 74 236 129 60 192 101
ZNF79 86 86 95 120 127 134 154
RPL12 81058 143040 95472 83165 212506 111068 198046
LRSAM1 386 200 455 348 223 644 385
FAM129B 93 50 75 54 31 75 32
STXBP1 130 103 141 127 97 200 143
RP11-56D16.8 13 4 21 12 9 20 10
PTRH1 546 130 840 362 164 840 335
TTC16 25 6 11 6 3 8 4
TOR2A 362 138 476 299 172 459 213
SH2D3C 262 205 303 248 202 318 236
CDK9 836 365 924 729 396 1152 510
FPGS 354 232 784 499 297 882 531
ENG 199 130 129 126 108 148 178
AK1 239 139 194 249 214 235 284
ST6GALNAC6 634 585 646 596 663 763 808
ST6GALNAC4 445 550 489 497 634 454 600
PIP5KL1 43 21 50 38 46 58 55
DPM2 1212 845 1595 995 850 1747 1420
FAM102A 316 970 510 440 1749 389 1032
NAIF1 160 201 173 141 303 185 273
SLC25A25 157 124 204 156 160 207 135
SLC25A25-AS1 14 11 10 16 10 16 19
PTGES2 593 406 905 443 416 838 602
C9orf16 5163 6517 7293 4735 7060 7568 8226
CIZ1 439 501 454 404 706 475 635
GOLGA2 743 805 862 796 1103 961 1261
SWI5 642 835 775 558 1029 875 1069
TRUB2 808 454 1122 670 487 1203 867
COQ4 1039 638 1373 852 695 1587 956
SLC27A4 99 17 182 80 17 139 48
URM1 1474 1350 1846 1312 1621 2102 2026
CERCAM 71 41 34 42 48 43 39
ODF2 596 608 760 474 534 758 788
GLE1 567 583 627 517 559 769 736
SPTAN1 958 978 1251 967 1289 1488 1438
WDR34 792 284 1135 568 219 1092 491
HMGA1P4 24 17 31 27 13 35 22
SET 10164 9346 14040 8762 10352 14854 14028
PKN3 65 47 115 48 40 110 107
ZDHHC12 2965 1998 3743 2492 2055 4079 2926
RP11-545E17.3 505 531 638 448 490 516 592
ZER1 71 70 70 70 90 92 80
TBC1D13 112 118 120 106 122 155 161
ENDOG 332 261 420 199 270 311 265
C9orf114 598 364 804 527 377 843 633
CCBL1 96 128 147 101 132 125 197
LRRC8A 120 84 154 116 133 220 145
DOLK 123 37 184 96 35 161 43
NUP188 311 254 397 267 233 427 340
SH3GLB2 472 293 633 382 246 655 411
FAM73B 123 95 160 115 109 194 129
DOLPP1 102 118 121 102 131 129 161
CRAT 269 192 339 272 232 305 258
PPP2R4 488 370 686 487 429 782 520
IER5L 18 106 20 20 160 17 96
NTMT1 1567 1589 2022 1385 2073 2314 2580
ASB6 212 157 314 216 229 285 219
TOR1B 250 153 213 177 146 227 155
TOR1A 1444 796 1929 1223 808 1934 1004
C9orf78 2245 1967 3345 2098 2818 2293 2336
USP20 214 219 268 255 419 258 450
FNBP1 6821 10385 5863 6479 16008 9131 13650
GPR107 211 169 228 203 157 275 234
FUBP3 368 303 524 339 423 571 431
EXOSC2 724 450 981 623 490 1028 905
ABL1 62 85 99 72 129 123 124
NUP214 487 442 566 411 535 638 667
RP11-544A12.8 211 197 220 197 253 267 321
FAM78A 520 626 630 496 852 878 926
PRRC2B 833 705 890 842 968 951 1009
POMT1 222 238 289 265 314 274 257
UCK1 421 338 539 381 430 566 473
RAPGEF1 495 429 506 530 484 634 604
MED27 589 375 814 481 349 769 500
NTNG2 13 1 26 13 7 30 11
SETX 1505 888 1709 1448 1029 2249 1392
TTF1 1149 1072 1408 1082 1247 1708 1543
DDX31 257 169 305 223 224 367 297
GTF3C4 218 173 233 186 259 310 283
C9orf9 129 173 149 178 274 211 202
TSC1 155 201 182 177 258 177 328
GTF3C5 763 632 947 637 604 1092 957
RALGDS 534 478 533 448 553 549 737
GBGT1 58 78 76 39 86 83 146
ABO 0 1 0 0 1 53 25
SURF6 440 671 612 390 743 700 1015
MED22 119 54 175 111 64 165 96
RPL7A 56225 104481 72685 54694 153037 74647 122372
SURF1 1235 906 1755 1238 1208 2032 1526
SURF2 583 487 848 486 634 796 537
SURF4 4636 3037 5678 3927 3007 6095 4772
STKLD1 8 17 18 7 15 14 21
REXO4 736 684 960 716 815 1146 1014
CACFD1 15 4 20 15 4 28 4
SLC2A6 73 11 159 64 21 108 15
SARDH 151 518 286 181 643 140 330
LINC00094 194 50 230 166 67 234 129
BRD3 699 610 955 687 561 1113 775
WDR5 554 406 739 446 485 927 655
RXRA 257 344 54 227 454 189 267
C9orf116 14 10 15 13 8 16 15
MRPS2 1410 1645 1678 1161 1933 2046 2156
CAMSAP1 371 246 518 319 389 655 484
UBAC1 1151 764 1417 889 818 1391 1270
NACC2 93 50 118 120 112 123 78
RP11-83N9.5 55 52 43 87 63 59 48
C9orf69 270 251 347 217 318 333 384
QSOX2 88 102 144 96 101 111 141
GPSM1 45 32 46 48 54 71 52
DNLZ 36 20 38 21 25 46 30
CARD9 20 25 19 13 8 38 29
SNAPC4 124 89 220 141 93 232 144
SDCCAG3 424 350 509 412 517 722 595
PMPCA 1029 647 1279 916 763 1396 906
INPP5E 129 79 125 95 101 148 118
SEC16A 311 229 341 273 225 387 302
NOTCH1 293 213 386 256 209 453 320
NALT1 15 10 10 9 10 15 12
AGPAT2 1411 893 1790 1300 969 2057 1142
SNHG7 2256 3837 1267 2610 6136 2810 5096
TMEM141 1330 999 1690 1286 1165 2019 1732
CCDC183 9 9 26 16 17 12 14
RABL6 766 416 1027 547 364 910 617
C9orf172 81 194 51 68 252 61 277
PHPT1 4035 4825 5855 3570 5739 5376 6690
MAMDC4 51 50 44 37 55 47 80
EDF1 11061 9990 13704 9634 11982 13662 12872
TRAF2 718 677 1011 684 638 1054 972
FBXW5 1562 1105 2221 1294 1122 2135 1297
C9orf142 2098 1452 2623 1755 1718 2340 1965
CLIC3 255 202 347 453 287 144 88
ABCA2 66 37 74 58 60 49 58
C9orf139 56 45 55 48 29 50 21
FUT7 1653 267 2665 1297 218 2315 454
NPDC1 1402 793 2422 1154 744 1966 1072
UAP1L1 112 159 136 112 187 169 181
MAN1B1-AS1 78 54 148 75 94 200 133
MAN1B1 704 823 740 633 1010 891 989
DPP7 3381 2458 3683 2514 3080 3699 3204
ANAPC2 237 135 294 174 144 299 179
SSNA1 3110 2327 4388 2774 2880 4221 3212
TPRN 32 30 51 41 29 54 28
TMEM203 751 610 1086 658 728 1201 916
NDOR1 33 22 57 39 16 66 29
RNF208 70 170 67 62 214 64 212
TUBB4B 7237 3207 10238 5475 2908 9465 3890
NELFB 565 340 669 419 348 785 485
TOR4A 120 64 91 75 58 131 108
EXD3 180 247 159 165 268 165 230
NOXA1 13 10 9 16 14 15 20
NSMF 165 194 202 117 268 282 351
PNPLA7 75 167 39 62 241 103 215
MRPL41 4007 2152 5930 3266 2350 6003 3526
DPH7 412 334 532 389 458 513 485
ZMYND19 139 73 232 121 86 248 132
ARRDC1 657 365 861 603 355 894 532
ARRDC1-AS1 266 154 306 273 160 305 241
EHMT1 862 621 944 712 756 1042 893
LINC01001 32 34 25 43 51 44 60
BET1L 348 581 407 400 778 525 940
RIC8A 1376 1050 1591 1211 1377 1829 1574
SIRT3 280 389 287 250 394 385 552
PSMD13 3349 2356 4297 2877 3160 4987 4277
RP11-326C3.2 3 11 17 9 21 4 31
ATHL1 105 73 194 137 108 106 131
IFITM2 12642 11364 15831 13741 12051 20198 21329
IFITM1 6029 3552 6366 5191 2701 8559 7102
RP11-326C3.11 81 61 38 10 23 184 143
IFITM3 946 832 226 409 283 2520 4231
RP11-326C3.12 17 21 14 32 59 52 85
SIGIRR 1237 916 1696 1039 1096 1658 1295
ANO9 181 192 203 177 281 203 281
PTDSS2 142 106 219 129 122 177 146
RNH1 4191 3502 5220 3436 3720 6113 4956
HRAS 615 395 992 658 723 1052 614
LRRC56 13 7 17 10 7 16 15
LMNTD2 41 25 32 46 46 54 42
RP11-496I9.1 15 7 12 27 9 24 16
RASSF7 751 428 778 615 470 883 645
MIR210HG 718 1033 308 735 1477 794 1347
PHRF1 379 313 479 367 413 588 579
IRF7 7327 5138 9082 6722 3966 11276 9642
DEAF1 530 492 733 891 1431 778 1115
EPS8L2 962 2654 750 1048 4259 1360 4383
TMEM80 317 221 214 269 243 252 211
TALDO1 6374 4471 8157 5313 4084 8510 6150
PDDC1 342 223 394 281 209 344 277
AP006621.5 310 191 456 283 227 484 279
SLC25A22 245 103 347 212 166 377 226
PANO1 41 37 74 39 39 65 43
PIDD1 239 210 299 254 293 327 314
RPLP2 92475 156955 106434 89638 224478 104749 195585
PNPLA2 391 303 462 357 347 542 386
CD151 1162 867 1247 963 842 1703 1297
POLR2L 4856 2785 8020 4065 2682 5944 3579
TSPAN4 184 138 254 176 111 166 163
RP11-1391J7.1 18 14 34 14 29 32 22
CHID1 1033 663 1202 799 695 960 986
AP2A2 482 365 524 473 442 629 502
TOLLIP 706 767 905 673 1090 1010 1090
TOLLIP-AS1 44 52 55 35 70 77 70
MOB2 686 638 835 654 831 926 844
DUSP8 21 26 28 27 42 31 51
CTSD 1502 1185 1539 1211 1316 1263 1160
LSP1 10052 10629 5275 7076 8738 7201 6877
TNNT3 8 17 1 6 23 0 7
MRPL23 3109 2148 4603 2524 2335 4445 3389
ASCL2 272 159 104 204 323 423 408
C11orf21 66 45 13 26 33 55 41
TSPAN32 33 24 11 27 31 12 32
CD81 707 371 731 492 352 821 636
TSSC4 1067 834 1471 924 894 1548 1037
KCNQ1 65 120 118 66 176 88 140
KCNQ1OT1 285 153 331 322 271 439 375
CDKN1C 4 15 4 3 20 8 15
SLC22A18 375 204 428 395 256 534 381
PHLDA2 557 258 386 415 290 1014 332
NAP1L4 5120 3704 6241 4693 3987 6071 4327
CARS 1979 1872 2175 1720 1803 2544 2456
OSBPL5 12 12 13 8 42 11 16
ZNF195 471 515 560 453 624 574 675
CHRNA10 9 4 22 5 10 20 10
NUP98 809 929 962 691 1291 975 1286
PGAP2 303 382 438 319 470 458 585
RHOG 4650 7397 5353 4715 10535 6215 9171
AC090587.5 15 12 12 15 10 43 20
STIM1 522 563 670 489 684 689 852
RRM1 2298 2351 2577 1879 2593 2878 3377
TRIM21 1085 517 1320 1083 459 1761 1183
TRIM68 93 76 114 73 74 115 108
TRIM5 416 323 486 419 369 894 830
TRIM22 1804 2140 2610 2186 3012 3280 4482
FAM160A2 196 170 232 180 281 251 325
SMPD1 439 236 534 420 260 513 241
APBB1 452 301 547 461 408 687 412
TRIM3 32 16 53 34 27 63 32
ARFIP2 716 682 799 680 859 1020 1076
TIMM10B 748 778 955 713 991 1031 1163
DNHD1 49 47 40 39 32 59 65
RRP8 630 659 838 579 883 863 921
ILK 2584 2130 3132 2299 2331 4341 3062
TAF10 997 967 1334 852 968 1230 1382
TPP1 519 629 568 505 853 570 866
MRPL17 3170 3949 3952 2697 4122 5031 6232
ZNF215 7 37 1 46 164 13 61
PPFIBP2 22 41 27 12 40 50 144
EIF3F 7063 11206 9083 6411 15538 8830 11514
RIC3 481 239 406 577 330 711 628
TRIM66 108 96 157 120 115 156 121
RPL27A 85357 127340 98964 75913 163593 96074 158385
AKIP1 1543 1458 1558 1283 1367 2326 2164
TMEM9B 1026 678 1510 1072 1083 1291 823
TMEM9B-AS1 22 5 16 19 10 15 9
NRIP3 69 42 131 82 61 97 167
DENND5A 318 270 415 308 261 507 344
TMEM41B 578 628 674 630 729 588 747
IPO7 1198 1072 1374 1057 1268 1574 1570
CTD-2371O3.2 5 4 58 94 165 56 79
CTD-2371O3.3 98 175 94 73 254 125 241
ZNF143 432 446 560 462 653 518 530
WEE1 631 379 593 419 299 663 378
SWAP70 180 187 255 205 244 275 232
SBF2-AS1 303 1239 213 355 2045 439 2014
SBF2 152 231 108 177 422 137 280
AMPD3 180 380 169 211 383 226 592
MTRNR2L8 257 457 352 280 529 3263 2977
RNF141 397 417 392 325 604 523 607
CTR9 1110 997 1200 1021 1205 1357 1623
EIF4G2 6001 4153 8092 5122 5370 9406 6007
ZBED5 441 397 476 374 421 494 507
ZBED5-AS1 109 101 115 109 138 138 124
CSNK2A3 32 31 38 29 39 45 32
USP47 1897 1966 1787 1846 2484 2431 3311
MICAL2 830 589 998 908 694 961 1080
ARNTL 276 246 287 219 267 303 349
BTBD10 648 367 954 585 494 1049 598
FAR1 319 252 447 316 305 506 414
SPON1 72 220 54 63 384 51 121
RRAS2 939 1294 968 862 1613 1478 1677
COPB1 2770 2255 3134 2505 2761 3551 3028
PSMA1 9976 9707 11838 8462 11543 13955 13416
PDE3B 545 1083 545 558 1256 517 1122
CYP2R1 296 295 327 324 375 401 445
C11orf58 7401 6369 9036 6757 6496 11264 9843
PLEKHA7 4 56 6 9 105 11 32
RPS13 54672 92290 65449 54988 137783 68762 116032
PIK3C2A 262 460 256 259 810 313 706
NUCB2 1628 2575 1090 1460 2813 512 1357
SERGEF 758 1015 756 691 1537 840 1566
SAAL1 746 709 1011 596 737 904 792
HPS5 582 463 705 486 535 763 612
GTF2H1 793 692 1055 801 863 1231 1182
LDHA 55578 70078 49422 39861 81849 71087 85760
LDHC 131 224 3 2 2 4 5
TSG101 2005 1426 2258 2000 1879 2748 1922
UEVLD 336 242 372 271 195 455 349
SPTY2D1-AS1 16 17 16 7 20 20 25
SPTY2D1 512 790 539 567 1497 529 1127
IGSF22 22 22 27 26 32 37 28
ZDHHC13 532 383 711 469 444 824 591
HTATIP2 4002 2236 5424 3916 2342 6507 3850
PRMT3 378 242 525 309 203 558 405
FANCF 482 434 602 486 596 676 788
SVIP 1817 2292 2517 1658 3040 2448 3645
RP11-17A1.3 15 10 29 22 37 18 33
CCDC34 905 1173 1282 858 1417 1149 1481
LIN7C 355 407 387 376 545 445 640
BDNF-AS 28 19 15 29 26 32 33
METTL15 392 412 468 393 425 581 667
ARL14EP 965 1059 1262 1296 1797 1574 2218
DNAJC24 244 279 333 232 314 368 500
IMMP1L 449 361 633 390 454 586 468
ELP4 325 316 390 286 292 434 379
RCN1 1033 559 1145 808 601 1603 1008
EIF3M 5722 7154 6945 5517 9766 7360 9067
PRRG4 112 78 139 108 129 267 174
QSER1 229 159 225 179 176 322 287
DEPDC7 5 9 7 3 18 6 16
TCP11L1 159 205 193 155 305 318 403
LINC00294 66 35 57 56 61 89 89
CSTF3 1044 626 1338 880 583 1722 1011
CSTF3-AS1 21 19 18 17 13 44 27
HIPK3 262 291 339 255 417 344 417
CD59 829 793 678 824 1279 661 767
FBXO3 379 352 345 317 521 345 474
CAPRIN1 1656 1624 2007 1548 2287 2277 2270
NAT10 680 1006 672 642 1111 952 1485
CAT 773 734 772 531 788 644 767
APIP 1028 777 1295 922 953 1316 995
PDHX 581 673 615 570 859 779 962
CD44 6007 8290 4148 5179 14416 5380 8744
TRIM44 979 842 1124 883 933 1412 1361
COMMD9 621 512 749 529 781 843 882
PRR5L 535 130 252 272 126 443 254
TRAF6 298 266 298 244 322 330 397
C11orf74 144 174 109 110 158 130 186
API5 1153 697 1400 963 754 1449 990
TTC17 908 842 906 873 986 1052 1175
HSD17B12 1217 1006 1097 868 925 1231 1201
ALKBH3 672 720 760 612 881 1009 1162
ACCS 35 20 34 34 29 43 32
EXT2 256 156 310 245 168 280 203
CD82 3239 3951 2994 3066 3692 4117 4920
TP53I11 97 47 89 58 77 101 70
RP11-430H10.1 60 121 57 22 53 42 92
SLC35C1 263 105 369 194 85 329 128
CRY2 93 78 73 82 111 102 123
MAPK8IP1 11 6 6 26 19 8 5
PEX16 977 942 1216 969 1054 1309 1232
PHF21A 385 758 363 424 1033 558 1247
DGKZ 517 621 714 480 757 664 721
MDK 1466 132 1235 948 152 1169 271
AMBRA1 134 81 166 97 113 142 106
HARBI1 111 47 124 96 53 133 60
ATG13 398 382 451 328 388 525 385
ARHGAP1 356 243 396 318 263 534 386
ZNF408 211 214 204 191 346 285 341
CKAP5 841 820 1290 810 855 1170 1111
C11orf49 534 309 601 409 290 657 432
ARFGAP2 1011 808 1197 840 1064 1406 1220
DDB2 3578 3465 4118 3263 3779 4525 4826
ACP2 306 101 472 270 96 470 134
NR1H3 68 80 78 71 87 88 104
MADD 234 227 303 247 212 306 306
SLC39A13 268 161 280 216 192 352 201
PSMC3 3653 2081 4944 3031 2096 5119 3375
CELF1 1480 1304 1820 1535 1988 2067 2128
NDUFS3 2578 2442 3373 2246 2771 3336 3261
PTPMT1 865 666 1219 746 687 1022 865
KBTBD4 339 352 425 307 427 426 447
MTCH2 2339 2101 3408 2005 2293 3660 2936
AGBL2 24 22 28 27 24 42 29
FNBP4 2255 2316 2541 2254 3157 2767 3618
NUP160 524 460 637 492 581 855 733
PTPRJ 202 390 166 161 767 165 348
TNKS1BP1 39 30 32 29 37 46 40
SSRP1 3977 4288 5200 3064 4821 5533 5481
SLC43A3 2015 1958 2461 1776 2377 3418 3230
RTN4RL2 3 5 6 5 14 11 16
SLC43A1 134 87 233 139 101 180 132
TIMM10 1448 1386 2114 1951 2444 2915 3315
UBE2L6 9375 7332 12112 9030 6113 16172 11915
SERPING1 180 33 130 121 8 235 66
YPEL4 25 124 6 28 224 9 105
CLP1 365 331 484 343 396 487 465
ZDHHC5 323 290 443 321 383 498 467
MED19 1523 1663 1717 1257 1758 1862 1885
TMX2 1282 885 1656 1016 913 1711 1164
C11orf31 5284 8121 6158 4508 8968 7062 9403
CTNND1 47 193 58 89 204 92 319
LPXN 1665 2748 2289 1516 2603 2199 2869
ZFP91 367 445 453 309 635 486 534
AP001258.4 129 91 166 130 76 173 204
FAM111A 2033 1325 2572 1542 1163 2845 2120
OSBP 402 431 488 402 470 661 609
AP000442.1 4 6 2 5 15 3 6
PATL1 791 1054 770 669 1544 1059 1871
STX3 173 141 169 139 275 244 207
MRPL16 2454 2008 3437 2211 2110 3317 2710
CCDC86 364 186 505 283 195 565 364
PRPF19 1651 906 2312 1442 951 2345 1449
TMEM109 1530 1029 2022 1335 1048 2013 1465
SLC15A3 13 26 16 19 28 25 25
CD6 2243 2484 3357 2435 3455 2278 2522
CD5 2019 3390 2840 2369 4717 2616 3893
VPS37C 105 110 95 111 136 141 192
VWCE 16 14 22 22 17 19 25
DDB1 1099 690 1384 967 828 1353 969
TKFC 646 331 691 506 308 947 589
CYB561A3 438 277 610 346 232 624 322
TMEM138 414 248 678 350 239 511 322
TMEM216 373 383 508 389 552 499 461
CPSF7 447 412 523 398 537 639 609
RP11-286N22.8 32 51 21 22 50 17 44
SDHAF2 1479 1143 1749 1326 1302 1877 1477
PPP1R32 22 17 16 23 28 28 31
TMEM258 11357 13740 12295 10640 16409 13307 18480
FEN1 3114 1137 3799 2255 934 3705 1918
FADS1 459 326 495 478 339 405 342
FADS3 135 109 159 117 201 158 154
BEST1 109 113 135 117 130 181 184
FTH1 69402 60290 84226 71891 69443 91474 108038
INCENP 271 333 383 221 300 362 400
ASRGL1 153 142 283 90 51 235 274
AHNAK 2163 1105 2222 1534 869 3448 1756
EEF1G 220 429 249 198 615 270 555
TUT1 278 203 259 207 188 310 294
MTA2 294 178 447 260 163 477 265
EML3 658 521 643 527 462 687 621
ROM1 92 95 102 88 106 162 150
B3GAT3 1697 1095 2233 1596 1022 2187 1573
GANAB 734 750 865 679 698 858 875
INTS5 437 269 450 382 244 542 394
C11orf98 99 69 123 101 64 132 104
LBHD1 20 10 19 15 12 22 21
METTL12 469 613 460 462 839 517 793
UQCC3 1056 1054 1289 974 1406 1288 1515
UBXN1 4997 5799 6330 4969 7567 6571 6301
BSCL2 16 15 25 18 22 28 13
